datasetID	name	link	publisher	supplier	dataset metadata
COL-110	WoRMS Tanaidacea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/110			
COL-112	WoRMS Hydrozoa in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/112			
COL-113	CilCat in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/113			
COL-115	ITIS Global in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/115			
COL-118	HymIS in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/118			
COL-119	FADA Nematomorpha in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/119			
COL-120	FADA Ephemeroptera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/120			
COL-121	CoL China in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/121			
COL-122	WoRMS Gastrotricha in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/122			
COL-123	WoRMS Placozoa in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/123			
COL-124	WoRMS Priapulida in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/124			
COL-125	WoRMS Gnathostomulida in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/125			
COL-126	WoRMS Monogenea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/126			
COL-127	WoRMS Cestoda in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/127			
COL-128	WoRMS Trematoda in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/128			
COL-129	WoRMS Myxozoa in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/129			
COL-130	WoRMS Mollusca in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/130			
COL-131	WoRMS Octocorallia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/131			
COL-132	WoRMS Chaetognatha in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/132			
COL-133	SF Psocodea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/133			
COL-134	SF Coreoidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/134			
COL-138	FADA Cladocera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/138			
COL-139	FADA Halacaridae in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/139			
COL-140	World Ferns in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/140			
COL-141	World Plants in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/141			
COL-142	The White-Files in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/142			
COL-143	Tessaratomidae Database in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/143			
COL-144	Lace Bugs Database in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/144			
COL-146	CarabCat in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/146			
COL-148	Microsporidia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/148			
COL-149	WoRMS Orthonectida in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/149			
COL-150	WoRMS Rhombozoa in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/150			
COL-152	WoRMS Merostomata in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/152			
COL-153	WoRMS Kinorhyncha in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/153			
COL-154	WoRMS Cephalochordata in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/154			
COL-157	WoRMS Foraminifera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/157			
COL-158	SF Dermaptera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/158			
COL-161	Brentids in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/161			
COL-162	WWW in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/162			
