parent,child
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Cantabrian_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Dinaric_Mountains_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/East_European_forest_steppe
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Rodope_montane_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Appenine_deciduous_montane_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Atlantic_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Baltic_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Celtic_broadleaf_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Central_China_loess_plateau_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Central_European_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Central_Korean_deciduous_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Changbai_Mountains_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Crimean_Submediterranean_forest_complex
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/English_Lowlands_beech_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Hokkaido_deciduous_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Huang_He_Plain_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Manchurian_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Nihonkai_evergreen_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/North_Atlantic_moist_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Po_Basin_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Pyrenees_conifer_and_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Sarmatic_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/South_Sakhalin-Kurile_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Southern_Korea_evergreen_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Taiheiyo_montane_deciduous_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Tarim_Basin_deciduous_forests_and_steppe
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Ussuri_broadleaf_and_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Western_European_broadleaf_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Western_Siberian_hemiboreal_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Azores_temperate_mixed_forests
http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests,http://eol.org/schema/terms/Madeira_evergreen_forests
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Pamir_alpine_desert_and_tundra
http://eol.org/schema/terms/montane_grasslands_and_shrublands,http://eol.org/schema/terms/Ghorat-Hazarajat_alpine_meadow
